equity,position,xgb_signal,ppo_signal,sentiment_signal,pnl,period,peak,drawdown
1.0,0,-1,1,1,-0.0,IS,1.0,0.0
1.0,0,-1,1,1,-0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,0,0,1,0.0,IS,1.0,0.0
1.0,0,0,0,1,0.0,IS,1.0,0.0
1.0,0,-1,1,1,-0.0,IS,1.0,0.0
1.0,0,1,0,1,0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,-1,1,1,-0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,0,0,1,-0.0,IS,1.0,0.0
1.0,0,1,0,1,0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,-1,0,1,-0.0,IS,1.0,0.0
1.0,0,1,0,1,0.0,IS,1.0,0.0
1.0144934822882092,1,1,1,1,0.014493482288209125,IS,1.0144934822882092,0.0
1.0210069731849685,1,1,1,1,0.006420436415291553,IS,1.0210069731849685,0.0
1.0199859662117834,0,-1,1,1,-0.001,IS,1.0210069731849685,-0.001000000000000112
1.020353336958593,1,1,1,1,0.00036017235430596626,IS,1.0210069731849685,-0.00064018781804831
1.032542691174537,1,1,1,1,0.011946208998813379,IS,1.032542691174537,0.0
1.0450163374511003,1,1,1,1,0.012080513845267093,IS,1.0450163374511003,0.0
1.0477526959798313,1,1,1,1,0.002618483970695751,IS,1.0477526959798313,0.0
1.0573123486350473,1,1,1,1,0.009123959014274874,IS,1.0573123486350473,0.0
1.0562550362864123,0,-1,1,1,-0.001,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,0,1,1,0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,-1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,1,0,1,0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,1,0,1,0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,1,0,1,0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,0,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,0,1,1,0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,-1,1,1,-0.0,IS,1.0573123486350473,-0.0010000000000000009
1.0562550362864123,0,1,0,1,0.0,IS,1.0573123486350473,-0.0010000000000000009
1.210658808459462,1,1,1,1,0.14618038908093978,IS,1.210658808459462,0.0
1.2094481496510026,0,-1,1,1,-0.001,IS,1.210658808459462,-0.0010000000000000009
1.2094481496510026,0,-1,1,1,-0.0,IS,1.210658808459462,-0.0010000000000000009
1.2094481496510026,0,-1,1,1,-0.0,IS,1.210658808459462,-0.0010000000000000009
